;1 g/kg ? 1100 mg/dL;;;2 g/kg ? 2200 mg/dL;;;3 g/kg ? 3300 mg/dL;;;4 g/kg ? 4400 mg/dL;;
Temps (min);Nø583;Nø659;Nø544;Nø126;Nø609;Nø206;Nø446;Nø379;Nø180;Nø829;Nø744;Nø406
0;147;193;196;127;215;272;111;193;154;170;233;204
2;222;240;222;205;239;262;176;261;240;240;286;246
4;218;290;218;211;331;310;194;264;259;220;337;251
6;260;337;246;208;351;325;285;305;313;302;395;319
8;289;361;263;242;379;391;359;339;325;331;426;368
10;284;361;259;254;385;359;354;418;380;359;446;410
12;322;386;286;313;401;385;423;441;383;394;425;397
14;352;385;289;294;392;376;466;420;379;373;429;386
16;361;383;305;299;411;388;431;409;350;422;469;356
18;370;381;309;332;402;395;414;390;361;412;459;373
20;401;343;286;327;372;370;489;417;341;386;482;364
22;376;357;323;300;382;342;467;410;351;425;476;351
24;351;315;310;297;374;350;481;411;361;445;470;350
26;340;307;305;309;374;347;483;418;361;423;478;343
28;375;304;288;309;352;322;523;385;354;426;482;335
30;294;311;290;304;341;331;503;364;343;428;481;359
32;295;299;325;303;327;335;502;371;344;413;470;334
34;286;313;293;302;333;312;510;378;338;422;508;347
36;273;293;303;292;314;319;506;346;349;408;466;361
38;273;263;309;293;327;310;497;339;352;400;507;359
40;281;283;304;276;282;298;490;314;321;390;478;370
42;265;284;273;278;301;337;492;326;317;381;493;379
44;263;277;286;275;301;294;466;339;307;405;433;372
46;279;290;299;291;276;265;455;302;292;384;445;360
48;275;261;283;264;271;302;452;314;284;375;455;347
50;264;239;259;262;265;291;424;323;283;361;415;379
52;258;258;268;264;265;284;461;314;302;359;414;327
54;255;252;281;265;256;274;421;303;285;330;411;339
56;252;237;262;254;237;295;417;310;287;328;407;318
58;251;245;271;238;238;273;397;292;257;308;394;323
60;247;250;264;249;263;270;372;291;270;331;386;310
65;237;250;257;240;245;242;358;288;261;300;416;302
70;229;235;255;227;227;251;336;289;248;281;368;258
75;232;236;254;185;230;242;294;285;243;272;358;260
80;225;229;233;209;214;247;299;256;232;237;351;243
85;202;200;229;181;198;255;252;248;231;241;317;252
90;202;211;221;189;222;224;227;235;222;233;302;248
95;210;212;221;189;184;217;219;245;224;226;293;253
100;204;210;249;161;184;250;204;222;199;226;301;251
105;189;196;213;169;185;229;207;248;203;210;274;258
110;191;203;225;179;178;204;213;211;205;204;260;244
115;207;205;199;176;184;216;202;204;185;215;277;246
120;188;199;189;159;197;198;188;195;193;190;265;265
130;180;191;195;155;155;199;178;185;213;179;241;234
140;158;183;197;147;149;179;176;213;183;167;227;277
150;153;182;180;127;137;187;188;167;173;166;198;250
160;161;181;177;134;151;195;148;162;171;163;211;195
170;153;178;186;128;169;196;153;177;168;178;191;217
180;142;155;168;125;175;193;158;155;170;171;215;207
